DAY,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,AVG
03-09,61.0,79.0,67.0,63.0,64.0,73.0,61.0,50.0,68.0,76.0,73.0,84.0,78.0,69.0
03-10,63.0,80.0,69.0,69.0,55.0,79.0,55.0,62.0,75.0,76.0,77.0,86.0,71.0,71.0
03-11,62.0,77.0,75.0,69.0,58.0,83.0,69.0,69.0,77.0,77.0,80.0,85.0,70.0,73.0
03-12,52.0,78.0,78.0,71.0,67.0,79.0,77.0,77.0,69.0,74.0,68.0,83.0,71.0,73.0
03-13,56.0,83.0,79.0,68.0,70.0,81.0,80.0,81.0,73.0,75.0,73.0,85.0,77.0,75.0
03-14,71.0,85.0,76.0,63.0,65.0,80.0,79.0,85.0,71.0,76.0,77.0,88.0,79.0,77.0
03-15,77.0,86.0,71.0,70.0,67.0,82.0,81.0,90.0,74.0,76.0,79.0,86.0,66.0,77.0
03-16,76.0,86.0,59.0,75.0,70.0,85.0,83.0,83.0,70.0,79.0,82.0,86.0,73.0,77.0
03-17,77.0,87.0,55.0,81.0,77.0,86.0,81.0,81.0,79.0,78.0,83.0,87.0,71.0,79.0
03-18,74.0,88.0,69.0,84.0,79.0,82.0,66.0,80.0,76.0,68.0,82.0,91.0,61.0,77.0
03-19,57.0,82.0,72.0,86.0,69.0,79.0,45.0,78.0,76.0,67.0,82.0,90.0,68.0,73.0
03-20,57.0,80.0,79.0,77.0,63.0,82.0,59.0,80.0,78.0,72.0,77.0,90.0,75.0,75.0
03-21,70.0,75.0,80.0,85.0,69.0,77.0,72.0,80.0,79.0,77.0,85.0,90.0,81.0,78.0
03-22,63.0,67.0,80.0,83.0,76.0,65.0,79.0,79.0,78.0,81.0,84.0,88.0,85.0,78.0
03-23,72.0,56.0,74.0,68.0,59.0,74.0,81.0,74.0,79.0,82.0,69.0,64.0,81.0,72.0
03-24,73.0,63.0,76.0,71.0,66.0,72.0,85.0,74.0,81.0,81.0,73.0,73.0,78.0,74.0
03-25,81.0,73.0,83.0,74.0,73.0,73.0,85.0,75.0,80.0,80.0,77.0,78.0,77.0,78.0
03-26,79.0,78.0,82.0,75.0,68.0,75.0,79.0,78.0,79.0,78.0,81.0,76.0,72.0,77.0
03-27,77.0,81.0,80.0,62.0,66.0,75.0,81.0,83.0,73.0,86.0,80.0,76.0,66.0,76.0
03-28,69.0,59.0,81.0,71.0,71.0,80.0,85.0,81.0,75.0,90.0,79.0,67.0,72.0,75.0
03-29,78.0,63.0,81.0,77.0,78.0,80.0,83.0,83.0,82.0,88.0,77.0,75.0,79.0,79.0
03-30,71.0,67.0,82.0,69.0,83.0,82.0,84.0,80.0,79.0,87.0,64.0,82.0,83.0,78.0
03-31,83.0,74.0,75.0,73.0,81.0,89.0,87.0,84.0,79.0,89.0,65.0,68.0,86.0,79.0
04-01,78.0,81.0,83.0,73.0,66.0,93.0,80.0,83.0,82.0,85.0,71.0,61.0,81.0,78.0
04-02,78.0,84.0,81.0,77.0,65.0,94.0,66.0,77.0,70.0,84.0,72.0,76.0,84.0,78.0
04-03,88.0,83.0,74.0,81.0,75.0,85.0,73.0,79.0,66.0,80.0,80.0,79.0,82.0,79.0
04-04,86.0,87.0,75.0,68.0,79.0,79.0,80.0,83.0,75.0,82.0,87.0,71.0,86.0,80.0
04-05,75.0,86.0,79.0,72.0,83.0,89.0,86.0,86.0,71.0,84.0,87.0,78.0,86.0,82.0
04-06,69.0,89.0,79.0,76.0,72.0,83.0,82.0,84.0,75.0,83.0,87.0,86.0,87.0,81.0
04-07,77.0,77.0,79.0,82.0,70.0,79.0,84.0,85.0,81.0,83.0,84.0,87.0,89.0,81.0
04-08,86.0,80.0,82.0,83.0,79.0,80.0,87.0,86.0,86.0,79.0,73.0,90.0,87.0,83.0
04-09,88.0,78.0,65.0,75.0,83.0,67.0,89.0,62.0,89.0,80.0,80.0,78.0,88.0,79.0
04-10,78.0,78.0,68.0,83.0,82.0,62.0,90.0,65.0,92.0,83.0,71.0,82.0,88.0,79.0
04-11,82.0,81.0,76.0,58.0,83.0,78.0,88.0,79.0,88.0,83.0,70.0,88.0,94.0,81.0
04-12,91.0,79.0,75.0,70.0,86.0,85.0,71.0,76.0,84.0,72.0,73.0,86.0,88.0,80.0
04-13,92.0,64.0,81.0,80.0,77.0,81.0,79.0,83.0,84.0,81.0,80.0,91.0,66.0,80.0
04-14,91.0,74.0,88.0,84.0,82.0,77.0,62.0,84.0,77.0,81.0,85.0,89.0,75.0,81.0
04-15,79.0,84.0,90.0,77.0,85.0,82.0,67.0,86.0,79.0,83.0,81.0,86.0,85.0,82.0
04-16,83.0,67.0,82.0,62.0,85.0,89.0,76.0,88.0,86.0,67.0,67.0,86.0,89.0,79.0
04-17,86.0,76.0,71.0,68.0,81.0,91.0,86.0,67.0,86.0,73.0,73.0,89.0,82.0,79.0
04-18,82.0,83.0,80.0,79.0,85.0,91.0,90.0,67.0,78.0,81.0,78.0,91.0,86.0,82.0
04-19,87.0,80.0,90.0,84.0,77.0,87.0,89.0,74.0,76.0,85.0,83.0,89.0,91.0,84.0
04-20,86.0,83.0,81.0,88.0,81.0,89.0,91.0,84.0,84.0,85.0,87.0,89.0,71.0,85.0
04-21,91.0,64.0,81.0,92.0,80.0,88.0,95.0,88.0,89.0,84.0,90.0,90.0,81.0,86.0
04-22,92.0,77.0,87.0,91.0,60.0,88.0,98.0,89.0,93.0,82.0,93.0,92.0,85.0,87.0
04-23,88.0,75.0,85.0,89.0,63.0,85.0,98.0,87.0,85.0,83.0,89.0,90.0,90.0,85.0
04-24,79.0,75.0,84.0,85.0,76.0,82.0,96.0,87.0,87.0,73.0,85.0,92.0,92.0,84.0
04-25,86.0,83.0,81.0,88.0,83.0,82.0,91.0,88.0,88.0,79.0,83.0,81.0,92.0,85.0
04-26,90.0,86.0,87.0,79.0,87.0,81.0,88.0,85.0,74.0,63.0,72.0,83.0,91.0,82.0
04-27,83.0,89.0,80.0,81.0,88.0,82.0,84.0,89.0,72.0,77.0,78.0,89.0,89.0,83.0
04-28,67.0,87.0,82.0,89.0,86.0,90.0,89.0,91.0,81.0,77.0,82.0,78.0,93.0,84.0
04-29,84.0,80.0,91.0,87.0,76.0,90.0,89.0,95.0,77.0,83.0,71.0,71.0,91.0,83.0
04-30,90.0,90.0,89.0,90.0,64.0,81.0,90.0,95.0,77.0,90.0,78.0,81.0,83.0,84.0
05-01,92.0,89.0,80.0,90.0,71.0,72.0,91.0,90.0,78.0,94.0,75.0,87.0,81.0,84.0
05-02,94.0,85.0,80.0,85.0,70.0,76.0,88.0,84.0,85.0,91.0,78.0,90.0,73.0,83.0
05-03,92.0,90.0,86.0,89.0,77.0,81.0,91.0,78.0,93.0,88.0,87.0,94.0,78.0,86.0
05-04,89.0,85.0,90.0,92.0,90.0,90.0,93.0,89.0,94.0,80.0,92.0,92.0,86.0,89.0
05-05,88.0,75.0,89.0,90.0,94.0,93.0,92.0,86.0,92.0,77.0,96.0,98.0,92.0,89.0
05-06,85.0,75.0,81.0,96.0,92.0,94.0,90.0,80.0,88.0,86.0,84.0,95.0,96.0,88.0
05-07,88.0,83.0,84.0,99.0,91.0,97.0,87.0,83.0,74.0,83.0,77.0,85.0,99.0,87.0
05-08,91.0,83.0,88.0,100.0,93.0,93.0,87.0,80.0,78.0,82.0,75.0,82.0,99.0,87.0
05-09,92.0,87.0,88.0,99.0,91.0,82.0,75.0,80.0,84.0,72.0,82.0,70.0,100.0,85.0
05-10,93.0,94.0,89.0,99.0,83.0,77.0,87.0,82.0,91.0,80.0,87.0,72.0,100.0,87.0
05-11,95.0,97.0,94.0,99.0,86.0,78.0,93.0,84.0,82.0,86.0,91.0,85.0,98.0,90.0
05-12,97.0,97.0,90.0,97.0,75.0,88.0,93.0,85.0,80.0,80.0,96.0,93.0,93.0,90.0
05-13,98.0,97.0,77.0,97.0,83.0,92.0,96.0,91.0,79.0,85.0,98.0,97.0,90.0,91.0
