DAY,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,AVG
04-01,61.0,65.0,76.0,72.0,65.0,55.0,82.0,67.0,72.0,69.0,77.0,63.0,56.0,76.0,68.0
04-02,75.0,68.0,78.0,72.0,72.0,58.0,79.0,57.0,64.0,58.0,73.0,67.0,70.0,76.0,69.0
04-03,76.0,79.0,79.0,66.0,66.0,68.0,73.0,67.0,70.0,57.0,62.0,74.0,70.0,73.0,70.0
04-04,66.0,75.0,80.0,68.0,55.0,72.0,60.0,76.0,77.0,66.0,77.0,80.0,58.0,75.0,70.0
04-05,61.0,61.0,75.0,71.0,58.0,70.0,79.0,76.0,77.0,61.0,75.0,77.0,63.0,77.0,70.0
04-06,68.0,61.0,81.0,73.0,66.0,57.0,72.0,73.0,78.0,64.0,73.0,76.0,78.0,82.0,72.0
04-07,81.0,70.0,77.0,71.0,78.0,59.0,68.0,68.0,76.0,70.0,73.0,77.0,76.0,87.0,74.0
04-08,70.0,77.0,72.0,72.0,68.0,70.0,66.0,80.0,68.0,78.0,68.0,65.0,75.0,82.0,72.0
04-09,54.0,78.0,74.0,56.0,69.0,75.0,47.0,81.0,49.0,84.0,66.0,71.0,65.0,75.0,67.0
04-10,59.0,70.0,71.0,59.0,71.0,73.0,55.0,82.0,56.0,83.0,73.0,63.0,69.0,82.0,69.0
04-11,65.0,71.0,65.0,61.0,53.0,77.0,67.0,73.0,68.0,80.0,76.0,65.0,78.0,84.0,70.0
04-12,72.0,82.0,66.0,64.0,68.0,73.0,72.0,66.0,71.0,77.0,76.0,70.0,79.0,76.0,72.0
04-13,78.0,80.0,63.0,72.0,73.0,65.0,70.0,65.0,76.0,76.0,77.0,77.0,81.0,58.0,72.0
04-14,79.0,81.0,72.0,84.0,74.0,73.0,63.0,50.0,75.0,63.0,78.0,77.0,81.0,65.0,72.0
04-15,80.0,71.0,71.0,79.0,61.0,77.0,67.0,62.0,75.0,71.0,61.0,67.0,77.0,80.0,71.0
04-16,84.0,78.0,57.0,69.0,50.0,77.0,76.0,67.0,71.0,76.0,54.0,56.0,78.0,78.0,69.0
04-17,80.0,75.0,73.0,59.0,60.0,77.0,82.0,79.0,51.0,79.0,61.0,59.0,80.0,66.0,70.0
04-18,74.0,62.0,72.0,75.0,70.0,81.0,79.0,80.0,55.0,70.0,73.0,65.0,83.0,71.0,72.0
04-19,73.0,70.0,70.0,77.0,76.0,74.0,78.0,83.0,67.0,70.0,74.0,75.0,80.0,76.0,74.0
04-20,68.0,76.0,69.0,72.0,79.0,75.0,82.0,79.0,74.0,77.0,77.0,80.0,80.0,57.0,75.0
04-21,69.0,85.0,61.0,73.0,82.0,69.0,78.0,84.0,77.0,82.0,77.0,83.0,76.0,73.0,76.0
04-22,75.0,82.0,69.0,79.0,81.0,51.0,77.0,89.0,84.0,82.0,74.0,84.0,75.0,78.0,77.0
04-23,80.0,70.0,61.0,76.0,82.0,58.0,74.0,87.0,68.0,71.0,73.0,78.0,81.0,85.0,75.0
04-24,57.0,70.0,70.0,76.0,76.0,72.0,72.0,89.0,76.0,77.0,67.0,79.0,76.0,87.0,75.0
04-25,61.0,75.0,75.0,68.0,72.0,77.0,77.0,82.0,72.0,79.0,66.0,66.0,74.0,82.0,73.0
04-26,68.0,81.0,76.0,74.0,68.0,75.0,70.0,70.0,77.0,57.0,59.0,64.0,76.0,85.0,71.0
04-27,70.0,75.0,81.0,71.0,75.0,80.0,64.0,75.0,,64.0,70.0,73.0,77.0,84.0,74.0
04-28,64.0,70.0,86.0,80.0,78.0,79.0,81.0,76.0,,69.0,75.0,61.0,60.0,86.0,74.0
